ID,Name_allTime,Name_night,Name_day,Name_peak,all_h,nightTime_h,dayTime_h,peakTime_h,GA_ID
25674,Baoshan,Baoshan,Baoshan,Baoshan,23.0,12.0,8.0,4.0,9114
25675,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,23.0,12.0,8.0,4.0,9115
25676,Pudong New,Pudong New,Shanghai Proper,Baoshan,22.0,11.0,8.0,4.0,9116
25677,Baoshan,Baoshan,Shanghai Proper,Shanghai Proper,23.0,12.0,7.0,4.0,9117
25678,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,9118
25679,Pudong New,Baoshan,Pudong New,Pudong New,23.0,12.0,7.0,4.0,9119
25680,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,9120
25681,Shanghai Proper,Shanghai Proper,Pudong New,Pudong New,23.0,12.0,7.0,4.0,9121
25682,Shanghai Proper,Shanghai Proper,Shanghai Proper,Pudong New,24.0,12.0,8.0,4.0,9122
25683,Shanghai Proper,Shanghai Proper,Pudong New,Pudong New,24.0,12.0,8.0,4.0,9123
25684,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,9124
25688,Baoshan,Baoshan,Baoshan,Baoshan,24.0,12.0,8.0,4.0,9125
25689,Jiading,Jiading,Jiading,Minhang,14.0,7.0,4.0,2.0,9126
25690,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,23.0,12.0,8.0,4.0,9127
25691,Shanghai Proper,Baoshan,Shanghai Proper,Shanghai Proper,23.0,12.0,8.0,4.0,9128
25692,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,9129
25693,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,9130
25694,Baoshan,Baoshan,Shanghai Proper,Shanghai Proper,15.0,8.0,4.0,2.0,9131
25695,Shanghai Proper,Baoshan,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,9132
25696,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,9133
25697,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,22.0,11.0,8.0,4.0,9134
25699,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,23.0,12.0,7.0,4.0,9135
25700,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,23.0,12.0,8.0,4.0,9136
25701,Baoshan,Baoshan,Shanghai Proper,Shanghai Proper,22.0,11.0,8.0,4.0,9137
25702,Shanghai Proper,Baoshan,Shanghai Proper,Shanghai Proper,23.0,12.0,8.0,4.0,9138
25703,Baoshan,Baoshan,Shanghai Proper,Baoshan,23.0,12.0,7.0,4.0,9139
25704,Baoshan,Baoshan,Shanghai Proper,Baoshan,23.0,11.0,8.0,4.0,9140
25705,Baoshan,Baoshan,Minhang,Minhang,24.0,12.0,8.0,4.0,9141
25706,Shanghai Proper,Baoshan,Shanghai Proper,Baoshan,24.0,12.0,8.0,4.0,9142
25707,Shanghai Proper,Baoshan,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,9143
25708,Shanghai Proper,Shanghai Proper,Shanghai Proper,Minhang,24.0,12.0,8.0,4.0,9144
25709,Shanghai Proper,Baoshan,Shanghai Proper,Minhang,23.0,12.0,8.0,4.0,9145
25710,Baoshan,Baoshan,Shanghai Proper,Baoshan,23.0,12.0,8.0,4.0,9146
25711,Baoshan,Baoshan,Shanghai Proper,Minhang,23.0,12.0,8.0,4.0,9147
25713,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,19.0,7.0,8.0,4.0,9148
25714,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,23.0,11.0,8.0,4.0,9149
25715,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,9150
25716,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,22.0,11.0,7.0,4.0,9151
25717,Shanghai Proper,Baoshan,Shanghai Proper,Baoshan,24.0,12.0,8.0,4.0,9152
25718,Pudong New,Pudong New,Shanghai Proper,Pudong New,18.0,8.0,7.0,3.0,9153
25719,Shanghai Proper,Baoshan,Shanghai Proper,Shanghai Proper,23.0,12.0,8.0,4.0,9154
25720,Shanghai Proper,Baoshan,Shanghai Proper,Shanghai Proper,15.0,7.0,6.0,2.0,9155
25721,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,23.0,12.0,7.0,4.0,9156
