FishnetID,NAME
907,Qingpu
908,Minhang
909,Songjiang
910,Songjiang
911,Songjiang
912,Jiading
913,Baoshan
914,Baoshan
915,Pudong New
916,Jinshan
917,Jiading
918,Pudong New
919,Pudong New
920,Chongming
921,Fengxian
922,Qingpu
923,Jinshan
924,Jinshan
925,Chongming
926,Chongming
927,Chongming
928,Qingpu
929,Jinshan
930,Jinshan
931,Pudong New
932,Pudong New
933,Fengxian
934,Baoshan
935,Baoshan
936,Shanghai Proper
937,Chongming
938,Songjiang
939,Baoshan
940,Chongming
941,Chongming
942,Pudong New
943,Baoshan
944,Baoshan
945,Chongming
946,Qingpu
947,Jiading
948,Qingpu
949,Chongming
950,Minhang
951,Pudong New
952,Chongming
953,Baoshan
954,Pudong New
955,Chongming
956,Songjiang
957,Jinshan
958,Baoshan
959,Jiading
960,Chongming
961,Pudong New
962,Chongming
963,Qingpu
964,Chongming
965,Jinshan
966,Baoshan
967,Qingpu
968,Chongming
969,Baoshan
970,Baoshan
971,Songjiang
972,Baoshan
973,Jinshan
974,Fengxian
975,Chongming
976,Qingpu
977,Baoshan
978,Chongming
979,Chongming
980,Minhang
981,Jinshan
982,Songjiang
983,Fengxian
984,Qingpu
985,Qingpu
986,Pudong New
987,Jiading
988,Fengxian
989,Songjiang
990,Chongming
991,Qingpu
992,Jinshan
993,Fengxian
994,Qingpu
995,Chongming
996,Qingpu
997,Qingpu
998,Minhang
999,Jinshan
1000,Minhang
1001,Qingpu
1002,Pudong New
1003,Minhang
1004,Chongming
1005,Chongming
1006,Chongming
1007,Chongming
1008,Fengxian
1009,Jiading
1010,Qingpu
1011,Songjiang
1012,Qingpu
1013,Fengxian
1014,Jiading
1015,Songjiang
1016,Pudong New
1017,Qingpu
1018,Pudong New
1019,Qingpu
1020,Qingpu
1021,Pudong New
1022,Songjiang
1023,Fengxian
1024,Pudong New
1025,Pudong New
1026,Songjiang
1027,Songjiang
1028,Fengxian
1029,Qingpu
1030,Shanghai Proper
1031,Songjiang
1032,Fengxian
1033,Songjiang
1034,Baoshan
1035,Jiading
1036,Jinshan
1037,Jinshan
1038,Qingpu
1039,Chongming
1040,Minhang
1041,Chongming
1042,Pudong New
1043,Minhang
